siret,regionCRPInstructeur,typeAide,dateDecision,dureeAide,montant
92675007600024,Bretagne,Prêt à taux bonifié,22 octobre 2020,6 ans,1600000
39998313900011,Centre-Val de Loire,Prêt à taux bonifié,16 juin 2021,6 ans,500000
42288185400042,Bourgogne-Franche-Comté,Avance remboursable,21 octobre 2020,10 ans (avance remboursable),600000
38467493300021,Nouvelle-Aquitaine,Prêt à taux bonifié,27 octobre 2020,6 ans,600000
38398821900028,Occitanie,Prêt à taux bonifié,13 octobre 2020,6 ans,750000
40125850400042,La Réunion,Avance remboursable,08 décembre 2020,10 ans (avance remboursable),220000
49279466400036,Nouvelle-Aquitaine,Prêt à taux bonifié,05 octobre 2020,6 ans,500000
45373074900018,Grand Est,Prêt à taux bonifié,07 décembre 2020,6 ans,440000
88260457200017,Bretagne,Prêt à taux bonifié,03 février 2021,6 ans,3000000
40984137600026,Centre-Val de Loire,Prêt à taux bonifié,20 janvier 2021,5 ans,1000000
75080358700013,Auvergne-Rhône-Alpes,Prêt à taux bonifié,29 mars 2021,6 ans,900000
80848673200023,Pays de la Loire,Prêt à taux bonifié,24 juin 2021,5 ans,1200000
31420865300035,Île-de-France,Prêt à taux bonifié,13 novembre 2020,6 ans,1200000
49183912200034,Normandie,Avance remboursable,21 décembre 2020,10 ans (avance remboursable),418000
50365923700013,Provence-Alpes-Côte d'Azur,Avance remboursable,11 décembre 2020,10 ans (avance remboursable),600000
82224926400026,Centre-Val de Loire,Prêt à taux bonifié,19 janvier 2021,6 ans,1300000
40522384300013,Île-de-France,Prêt à taux bonifié,03 novembre 2020,6 ans,250000
33369726600026,Auvergne-Rhône-Alpes,Prêt à taux bonifié,05 mars 2021,6 ans,750000
44635011800019,Hauts-de-France,Avance remboursable,18 décembre 2020,10 ans (avance remboursable),550000
33974035900049,La Réunion,Avance remboursable,08 décembre 2020,10 ans (avance remboursable),260000
33367312700036,Nouvelle-Aquitaine,Prêt à taux bonifié,10 décembre 2020,6 ans,350000
52380775800058,Auvergne-Rhône-Alpes,Prêt à taux bonifié,16 février 2021,6 ans,1000000
37948567500050,Bretagne,Avance remboursable,15 décembre 2020,10 ans (avance remboursable),600000
50044214000033,Hauts-de-France,Prêt à taux bonifié,26 mars 2021,6 ans,800000
47771197200018,Auvergne-Rhône-Alpes,Prêt à taux bonifié,11 avril 2021,6 ans,1250000
53250775300046,Hauts-de-France,Avance remboursable,22 janvier 2021,10 ans (avance remboursable),400000
33067445800014,Bretagne,Avance remboursable,03 décembre 2020,10 ans (avance remboursable),800000
61920014000025,Bretagne,Avance remboursable,10 décembre 2020,10 ans (avance remboursable),600000
48213875700026,Centre-Val de Loire,Prêt à taux bonifié,16 avril 2021,6 ans,3000000
43272504200027,La Réunion,Avance remboursable,03 février 2021,10 ans (avance remboursable),480000
83957804400027,Auvergne-Rhône-Alpes,Prêt à taux bonifié,03 mai 2021,6 ans,350000
73575014300019,Pays de la Loire,Avance remboursable,23 juillet 2021,10 ans (avance remboursable),300000
41491399600016,Grand Est,Prêt à taux bonifié,28 janvier 2021,6 ans,550000
50836775200013,Normandie,Prêt à taux bonifié,01 février 2021,5 ans,1000000
49164906700023,Provence-Alpes-Côte d'Azur,Avance remboursable,22 décembre 2020,6 ans,350000
41212745800039,Provence-Alpes-Côte d'Azur,,23 avril 2021,6 ans,200000
38808989800059,Bretagne,Avance remboursable,09 février 2021,10 ans (avance remboursable),800000
31227281800195,Auvergne-Rhône-Alpes,Prêt à taux bonifié,19 mai 2021,6 ans,250000
41031033800018,Grand Est,Prêt à taux bonifié,28 janvier 2021,10 ans (avance remboursable),500000
80453264600036,Grand Est,Prêt à taux bonifié,28 janvier 2021,6 ans,3450000
31387383800053,Occitanie,Prêt à taux bonifié,23 avril 2021,6 ans,450000
80868444300027,Hauts-de-France,Prêt à taux bonifié,21 janvier 2021,6 ans,400000
33281330200012,Auvergne-Rhône-Alpes,Prêt à taux bonifié,04 mars 2021,6 ans,300000
82448502300025,Grand Est,Avance remboursable,26 mars 2021,10 ans (avance remboursable),800000
44974420000063,Île-de-France,Prêt à taux bonifié,13 avril 2021,6 ans,470000
31176543200043,Centre-Val de Loire,Avance remboursable,05 mars 2021,10 ans (avance remboursable),250000
49898746000025,Auvergne-Rhône-Alpes,Prêt à taux bonifié,11 avril 2021,6 ans,600000
